uid,size,brand,model,loadspeed
20242060001,305/50R20,BFGoodrich,All-Terrain T/A KO2,100H
20242060002,225/50R18,BFGoodrich,Advantage Control,100H
20242060003,235/50R17,BFGoodrich,Advantage Control,100H
20242060004,215/60R16,BFGoodrich,Advantage Control,100H
20242060005,325/65R18,BFGoodrich,All-Terrain T/A KO2,100H
20242060006,245/50R20,BFGoodrich,Advantage Control,100H
20242060007,225/65R16,BFGoodrich,Advantage Control,100H
20242060008,235/50R17,BFGoodrich,Advantage Control,100H
20242060009,275/45R20,BFGoodrich,Advantage Control,100H
20242060010,205/60R15,BFGoodrich,Advantage Control,100H
20242060011,245/40R18,BFGoodrich,Advantage Control,100H
20242060012,245/45R18,BFGoodrich,Advantage Control,100H
20242060013,235/40R19,BFGoodrich,Advantage Control,100H
20242060014,235/50R18,BFGoodrich,Advantage Control,100H
20242060015,235/70R16,Hercules,Terra Trac AT X-Journey,100H
20242060016,235/55R19,BFGoodrich,Advantage Control,100H
20242060017,235/55R19,BFGoodrich,Advantage Control,100H
20242060018,235/45R19,BFGoodrich,Advantage Control,100H
20242060019,225/55R17,BFGoodrich,Advantage Control,100H
20242060020,235/60R18,BFGoodrich,Advantage T/A Sport LT,100H
20242060021,255/70R16,BFGoodrich,Advantage T/A Sport LT,100H
20242060022,245/60R15,Hercules,H/P Radial 4000,100H
20242060023,215/65R15,Hercules,H/P Radial 4000,100H
20242060024,255/65R17,BFGoodrich,Advantage T/A Sport LT,100H
20242060025,225/75R16,BFGoodrich,Advantage T/A Sport LT,100H
20242060026,33X12.50-18,BFGoodrich,All-Terrain T/A KO2,100H
20242060027,255/55R18,BFGoodrich,All-Terrain T/A KO2,100H
20242060028,215/70R16,BFGoodrich,All-Terrain T/A KO2,100H
20242060029,235/55R17,BFGoodrich,Elite-Force T/A,100H
20242060030,245/40R19,Michelin,X-Ice Snow,100H
20242060031,235/50R18,BFGoodrich,Elite-Force T/A,100H
20242060032,235/50ZR17,BFGoodrich,g-Force COMP-2 A/S Plus,100H
20242060033,245/45ZR20,BFGoodrich,g-Force COMP-2 A/S Plus,100H
20242060034,255/45ZR17,Michelin,Pilot Sport All Season 4,100H
20242060035,225/45ZR18,BFGoodrich,g-Force COMP-2 A/S Plus,100H
20242060036,245/40ZR19,BFGoodrich,g-Force COMP-2 A/S Plus,100H
20242060037,295/70R17,BFGoodrich,HD-Terrain T/A KT,100H
20242060038,265/70R18,BFGoodrich,HD-Terrain T/A KT,100H
20242060039,245/70R17,BFGoodrich,HD-Terrain T/A KT,100H
20242060040,285/60R20,BFGoodrich,HD-Terrain T/A KT,100H
20242060041,285/75R17,BFGoodrich,HD-Terrain T/A KT,100H
20242060042,315/70R17,BFGoodrich,HD-Terrain T/A KT,100H
20242060043,275/70R18,BFGoodrich,HD-Terrain T/A KT,100H
20242060044,265/70R18,Michelin,Defender LTX M/S,100H
20242060045,285/75R16,BFGoodrich,HD-Terrain T/A KT,100H
20242060046,295/60R20,BFGoodrich,HD-Terrain T/A KT,100H
20242060047,275/65R18,BFGoodrich,HD-Terrain T/A KT,100H
20242060048,275/70R17,BFGoodrich,HD-Terrain T/A KT,100H
20242060049,235/60R18,Michelin,Primacy MXM4,100H
20242060050,37X13.50R22,BFGoodrich,HD-Terrain T/A KT,100H
20242060051,37X13.50R20,BFGoodrich,HD-Terrain T/A KT,100H
20242060052,245/75R17,BFGoodrich,HD-Terrain T/A KT,100H
20242060053,275/65R20,BFGoodrich,HD-Terrain T/A KT,100H
20242060054,255/75R17,BFGoodrich,Mud-Terrain T/A Km2,100H
20242060055,255/75R17,BFGoodrich,Mud-Terrain T/A KM3,100H
20242060056,37X12.50R20,BFGoodrich,Mud-Terrain T/A KM3,100H
20242060057,245/70R16,BFGoodrich,Advantage T/A Sport LT,100H
20242060058,295/35ZR19,Michelin,Pilot Super Sport,100H
20242060059,285/65R18,BFGoodrich,Mud-Terrain T/A KM3,100H
20242060060,245/45R17,Michelin,Pilot Sport 4 S,100H
20242060061,245/60R14,BFGoodrich,Radial T/A,100H
20242060062,215/70R14,BFGoodrich,Radial T/A,100H
20242060063,215/70R15,BFGoodrich,Radial T/A,100H
20242060064,235/65R17,BFGoodrich,Trail-Terrain T/A,100H
20242060065,265/60R18,BFGoodrich,Trail-Terrain T/A,100H
20242060066,255/55R20,BFGoodrich,Trail-Terrain T/A,100H
20242060067,225/75R16,BFGoodrich,Trail-Terrain T/A,100H
20242060068,255/65R17,BFGoodrich,Trail-Terrain T/A,100H
20242060069,245/65R17,BFGoodrich,Trail-Terrain T/A,100H
20242060070,225/55R18,BFGoodrich,Trail-Terrain T/A,100H
20242060071,305/30R19,Michelin,Pilot Sport 4 S,100H
20242060072,235/70R16,BFGoodrich,Trail-Terrain T/A,100H
20242060073,285/30ZR18,Michelin,Pilot Sport 4 S,100H
20242060074,245/70R17,BFGoodrich,Trail-Terrain T/A,100H
20242060075,255/75R17,BFGoodrich,All-Terrain T/A KO2,100H
20242060076,255/60R18,Continental,ContiCrossContact ATR,100H
20242060077,265/65R17,Uniroyal,Laredo HD/T,100H
20242060078,245/45R17,Continental,ContiWinterContact TS 830 P,100H
20242060079,245/35R21,Continental,ContiSportContact 5P,100H
20242060080,235/55R19,Continental,ContiCrossContact LX Sport,100H
20242060081,235/50R18,Continental,ContiProContact,100H
20242060082,285/35R19,Continental,ContiSportContact 6,100H
20242060083,235/40R18,Continental,ExtremeContact Sport 02,100H
20242060084,245/35R20,Continental,ExtremeContact Sport 02,100H
20242060085,285/35R20,Continental,ExtremeContact Sport 02,100H
20242060086,285/30R18,Continental,ExtremeContact Sport 02,100H
20242060087,235/35R19,Continental,ExtremeContact Sport 02,100H
20242060088,285/40ZR17,Continental,ExtremeContact Sport 02,100H
20242060089,245/45ZR18,Continental,ExtremeContact Sport 02,100H
20242060090,255/35R19,Continental,ExtremeContact Sport 02,100H
20242060091,295/30R20,Continental,ExtremeContact Sport 02,100H
20242060092,275/35R21,Continental,ProContact RX,100H
20242060093,295/35R21,Continental,SportContact 7,100H
20242060094,235/60R18,BFGoodrich,Trail-Terrain T/A,100H
20242060095,215/60R16,Continental,TRUE CONTACT TOUR,100H
20242060096,255/35R19,Continental,Viking Contact 7,100H
20242060097,255/45R18,Continental,Viking Contact 7,100H
20242060098,245/45R19,Continental,Viking Contact 7,100H
20242060099,235/40ZR18,Cooper,Cobra Instinct,100H
20242060100,215/45ZR17,Cooper,Cobra Instinct,100H
20242060101,235/35ZR19,Cooper,Cobra Instinct,100H
20242060102,225/40ZR18,Cooper,Cobra Instinct,100H
20242060103,245/45ZR18,Cooper,Cobra Instinct,100H
20242060104,225/40ZR19,Cooper,Cobra Instinct,100H
20242060105,265/35ZR20,Cooper,Cobra Instinct,100H
20242060106,245/35ZR19,Cooper,Cobra Instinct,100H
20242060107,215/70R14,Cooper,Cobra Radial G/T,100H
20242060108,235/60R14,Cooper,Cobra Radial G/T,100H
