uid,size,brand,model,loadspeed
20250302001,205/55R16,Goodyear,EfficientGrip Performance 2,91H
20250302002,215/55R16,Sava,Intensa HP2,93V
20250302003,245/40R17,Sava,Intensa UHP 2,95Y
20250302004,255/45R18,Goodyear,Eagle F1 Asymmetric 5,103Y
20250302005,255/65R18,Goodyear,Wrangler Territory AT/S,111H
20250302006,215/65R16,Sava,Trenta 2,109/107T
20250302007,215/55R18,Sava,Intensa SUV 2,99V
20250302008,265/70R19.50,Goodyear,Kmax S,140/138M
20250302009,225/50R17,Goodyear,Eagle F1 Asymmetric 5 MO,94Y
20250302010,245/45R17,Goodyear,Eagle F1 Asymmetric 5,99Y
20250302011,185/65R14,Goodyear,EfficientGrip Compact 2,86H
20250302012,255/70R17,Goodyear,Wrangler Territory HT,
20250302013,215/75R16,Sava,Trenta 2,113/111R
20250302014,245/70R17.50,Goodyear,Kmax S,136/134M
20250302015,205/55R15,Goodyear,EfficientGrip Performance,
20250302016,305/30R21,Goodyear,Eagle F1 Asymmetric 5 NF0,104Y
20250302017,195/50R15,Continental,ContiPremiumContact 5,82V
20250302018,195/R15,Goodyear,DuraMax G2,106/104S
20250302019,255/40R18,Goodyear,Eagle F1 Asymmetric 5 MO,99Y
20250302020,215/45R17,Goodyear,Eagle F1 Asymmetric 5,91Y
20250302021,285/70R19.50,Goodyear,KMAX S GEN-2,S
20250302022,205/55R16,Firestone,FS100,91V
20250302023,215/45R16,Goodyear,EfficientGrip Performance AO,
20250302024,185/65R15,Goodyear,EfficientGrip Performance VW2,88H
20250302025,315/35R21,Goodyear,Eagle F1 Asymmetric 3 SUV ROF,111Y
20250302026,255/70R16,Goodyear,Wrangler All-Terrain Adventure,111T
20250302027,285/70R19.50,Goodyear,KMAX T,150/148J
20250302028,265/70R19.50,Goodyear,Omnitrac MSS II,
20250302029,215/40R17,Goodyear,Eagle F1 Asymmetric,87Y
20250302030,245/70R19.50,Goodyear,Kmax S,136/134M
20250302031,255/35R19,Goodyear,Eagle F1 Asymmetric 5 MO,96Y
20250302032,225/50R16,Goodyear,EfficientGrip Performance 2,92Y
20250302033,255/45R20,Goodyear,Eagle F1 Asymmetric 5 MO,105W
20250302034,185/65R15,Goodyear,EfficientGrip Performance,88H
20250302035,225/45R18,Goodyear,Eagle F1 Asymmetric 5,91Y
20250302036,225/45R17,Goodyear,Eagle F1 Asymmetric 5,94Y
20250302037,245/70R16,Goodyear,Wrangler DuraTrac RT,113/110Q
20250302038,205/55R16,Continental,ContiPremiumContact 5,91V
20250302039,325/30R21,Goodyear,Eagle F1 SuperSport RS N0,108Y
20250302040,235/75R17.50,Goodyear,Kmax S,S
20250302041,235/75R17.50,Goodyear,KMAX T,T
20250302042,215/75R17.50,Goodyear,Kmax S,128/126M
20250302043,225/45R18,Goodyear,Eagle F1 Asymmetric 5 MO,95Y
20250302044,275/30R20,Goodyear,Eagle F1 Asymmetric 5 Run Flat,97Y
